速度(km/hr),小客車國道能耗(l/km),小客車國道CO2排放(g/km),小客車省道能耗(l/km),小客車省道CO2排放(g/km)
5,0.3689,834.8277,0.5312,1202.0358
6,0.3025,684.6277,0.4445,1006.0101
7,0.2570,581.6903,0.3848,870.8867
8,0.2244,507.7865,0.3417,773.3315
9,0.2001,452.8372,0.3095,700.3759
10,0.1815,410.8349,0.2847,644.2384
11,0.1670,377.9898,0.2651,599.9713
12,0.1555,351.8036,0.2494,564.2827
13,0.1461,330.5697,0.2364,534.9030
14,0.1384,313.0893,0.2255,510.2214
15,0.1319,298.4998,0.2161,489.0687
16,0.1265,286.1685,0.2079,470.5804
17,0.1218,275.6233,0.2007,454.1085
18,0.1178,266.5072,0.1941,439.1623
19,0.1142,258.5469,0.1880,425.3678
20,0.1111,251.5306,0.1823,412.4389
21,0.1084,245.2930,0.1768,400.1570
22,0.1059,239.7035,0.1716,388.3561
23,0.1037,234.6585,0.1666,376.9111
24,0.1017,230.0747,0.1616,365.7295
25,0.0998,225.8849,0.1568,354.7450
26,0.0981,222.0344,0.1520,343.9120
27,0.0965,218.4782,0.1472,333.2019
28,0.0951,215.1788,0.1426,322.5993
29,0.0937,212.1051,0.1379,312.1001
30,0.0925,209.2305,0.1333,301.7086
31,0.0913,206.5324,0.1288,291.4363
32,0.0901,203.9913,0.1243,281.2998
33,0.0891,201.5900,0.1199,271.3204
34,0.0881,199.3133,0.1156,261.5221
35,0.0871,197.1477,0.1113,251.9313
36,0.0862,195.0810,0.1072,242.5761
37,0.0853,193.1018,0.1032,233.4851
38,0.0845,191.2001,0.0993,224.6874
39,0.0837,189.3662,0.0955,216.2119
40,0.0829,187.5914,0.0920,208.0868
41,0.0821,185.8675,0.0885,200.3397
42,0.0814,184.1869,0.0853,192.9966
43,0.0807,182.5423,0.0822,186.0823
44,0.0800,180.9272,0.0794,179.6200
45,0.0792,179.3354,0.0767,173.6311
46,0.0786,177.7613,0.0743,168.1352
47,0.0779,176.1996,0.0721,163.1500
48,0.0772,174.6458,0.0701,158.6911
49,0.0765,173.0956,0.0684,154.7725
50,0.0758,171.5453,0.0669,151.4059
51,0.0751,169.9918,0.0657,148.6015
52,0.0744,168.4325,0.0647,146.3675
53,0.0737,166.8652,0.0639,144.7108
54,0.0730,165.2884,0.0635,143.6364
55,0.0723,163.7011,0.0633,143.1483
56,0.0716,162.1028,0.0633,143.2494
57,0.0709,160.4936,0.0636,143.9415
58,0.0702,158.8740,0.0642,145.2260
59,0.0695,157.2452,0.0650,147.1039
60,0.0688,155.6088,0.0661,149.5761
61,0.0680,153.9670,0.0675,152.6437
62,0.0673,152.3222,0.0691,156.3087
63,0.0666,150.6776,0.0710,160.5737
64,0.0659,149.0365,0.0731,165.4429
65,0.0651,147.4027,0.0755,170.9224
66,0.0644,145.7802,0.0782,177.0204
67,0.0637,144.1736,0.0812,183.7477
68,0.0630,142.5872,0.0845,191.1185
69,0.0623,141.0258,0.0880,199.1505
70,0.0616,139.4943,0.0919,207.8658
71,0.0610,137.9974,0.0960,217.2913
72,0.0603,136.5400,0.1005,227.4589
73,0.0597,135.1265,0.1053,238.4070
74,0.0591,133.7615,0.1106,250.1800
75,0.0585,132.4490,0.1161,262.8299
76,0.0580,131.1926,0.1221,276.4165
77,0.0574,129.9954,0.1286,291.0081
78,0.0569,128.8599,0.1355,306.6823
79,0.0565,127.7877,0.1430,323.5267
80,0.0560,126.7798,0.1510,341.6397
81,0.0556,125.8358,,
82,0.0552,124.9544,,
83,0.0549,124.1330,,
84,0.0545,123.3676,,
85,0.0542,122.6524,,
86,0.0539,121.9801,,
87,0.0536,121.3413,,
88,0.0533,120.7247,,
89,0.0531,120.1165,,
90,0.0528,119.5007,,
91,0.0525,118.8585,,
92,0.0522,118.1683,,
93,0.0519,117.4056,,
94,0.0515,116.5425,,
95,0.0511,115.5478,,
96,0.0505,114.3865,,
97,0.0503,113.7351,,
98,0.0500,113.1153,,
99,0.0497,112.5278,,
100,0.0495,111.9735,,
101,0.0493,111.4533,,
102,0.0490,110.9680,,
103,0.0488,110.5187,,
104,0.0487,110.1062,,
105,0.0485,109.7314,,
106,0.0483,109.3953,,
107,0.0482,109.0988,,
108,0.0481,108.8428,,
109,0.0480,108.6284,,
110,0.0479,108.4564,,
111,0.0479,108.3279,,
112,0.0478,108.2438,,
113,0.0478,108.2052,,
114,0.0478,108.2129,,
115,0.0478,108.2681,,
116,0.0479,108.3716,,
117,0.0480,108.5246,,
118,0.0480,108.7281,,
119,0.0482,108.9830,,
120,0.0483,109.2904,,
