速度(km/hr),機車能耗(l/km),機車CO2排放(g/km)
5,0.3320,751.3381
6,0.2781,629.3296
7,0.2396,542.1768
8,0.2107,476.8250
9,0.1883,426.0211
10,0.1703,385.4127
11,0.1556,352.2294
12,0.1434,324.6239
13,0.1331,301.3167
14,0.1243,281.3937
15,0.1167,264.1840
16,0.1101,249.1840
17,0.1043,236.0085
18,0.0991,224.3572
19,0.0946,213.9931
20,0.0905,204.7260
21,0.0868,196.4019
22,0.0835,188.8943
23,0.0805,182.0986
24,0.0777,175.9274
25,0.0753,170.3070
26,0.0730,165.1747
27,0.0709,160.4771
28,0.0690,156.1681
29,0.0673,152.2077
30,0.0656,148.5611
31,0.0642,145.1978
32,0.0628,142.0909
33,0.0615,139.2167
34,0.0603,136.5540
35,0.0593,134.0839
36,0.0582,131.7893
37,0.0573,129.6550
38,0.0564,127.6672
39,0.0556,125.8133
40,0.0548,124.0817
41,0.0541,122.4621
42,0.0534,120.9448
43,0.0528,119.5209
44,0.0522,118.1822
45,0.0517,116.9212
46,0.0511,115.7307
47,0.0506,114.6042
48,0.0502,113.5356
49,0.0497,112.5189
50,0.0493,111.5489
51,0.0489,110.6204
52,0.0485,109.7285
53,0.0481,108.8687
54,0.0477,108.0367
55,0.0474,107.2281
56,0.0470,106.4392
57,0.0467,105.6662
58,0.0464,104.9053
59,0.0460,104.1532
60,0.0457,103.4065
61,0.0454,102.6620
62,0.0450,101.9166
63,0.0447,101.1673
64,0.0444,100.4112
65,0.0440,99.6455
66,0.0437,98.8674
67,0.0433,98.0742
68,0.0430,97.2635
69,0.0426,96.4327
70,0.0422,95.5792
71,0.0418,94.7008
72,0.0414,93.7951
73,0.0410,92.8597
74,0.0406,91.8923
75,0.0402,90.8909
76,0.0397,89.8532
77,0.0392,88.7770
78,0.0387,87.6603
79,0.0382,86.5010
80,0.0377,85.2970
